graphite 1:1.3.14-1.1
graphviz 3.0.0-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-4
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.19-1.1
gspell 1.8.4-1
gssproxy 0.8.4-1
gst-plugins-bad-libs 1.20.1-1
gst-plugins-base 1.20.1-1
gst-plugins-base-libs 1.20.1-1
gst-plugins-good 1.20.1-1
gst-python 1.20.1-1
gstreamer 1.20.1-1
gtest 1.11.0-3
gtk-doc 1.33.2-1
gtk-update-icon-cache 1:4.6.1-3
gtk-vnc 1.3.0-1
gtk2 2.24.33-2
gtk3 1:3.24.33-1
gtk4 1:4.6.1-3
gtkmm3 3.24.5-2
gtksourceview4 4.8.2-1
gtktranslate-bin 0.4.0-1
gts 0.7.6.121130-2.1
guile 2.2.7-2
gumbo-parser 0.10.1-2
gvfs 1.48.1-3
gvfs-afc 1.48.1-3
gvfs-mtp 1.48.1-3
gwe 0.15.4-1
gzip 1.11-1
hackernews_tui 0.9.1-1
harfbuzz 4.0.1-1
harfbuzz-icu 4.0.1-1
hashcat 1:6.2.5-1
haveged 1.9.17-1
haveged-runit 20180226-4
hdparm 9.63-2
hicolor-icon-theme 0.17-2.1
hidapi 0.11.2-1
html-xml-utils 8.3-1
htop 3.1.2-1
http-parser 2.9.4-1.1
hunspell 1.7.0-3.1
hwdata 0.357-1
hwloc 2.7.0-1
hyphen 2.8.8-3.1
iana-etc 20220205-1
ibus 1.5.25-5
icu 70.1-1
ifuse 1.1.4-2
ijs 0.35-3.1
imagemagick 7.1.0.27-1
imath 3.1.4-1
imlib2 1.8.1-1
inetutils 2.2-1
iniparser 4.1-4
inkscape 1.1.2-2
intel-mkl 2020.4.304-1
intel-ucode 20220207-1
intltool 0.51.0-6
inxi 3.3.13.1-1
ipp-usb 0.9.19-1
iproute2 5.16.0-1
iptables 1:1.8.7-1
iputils 20211215-1
ipw2100-fw 1.3-10.1
ipw2200-fw 3.1-8.1
irssi 1.2.3-2
iscan-for-epson-v500-photo 2.30.4-4
iscan-plugin-gt-f720 2.30.4-2
iso-codes 4.9.0-1
itstool 1:2.0.7-1
iw 5.16-1
jack2 1.9.20-4
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3.1
java-openjdk-bin 17.0.2.u8-1
